Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0000010	GL50803_101534, GL50803_102542, GL50803_102813, GL50803_103944, GL50803_10744, GL50803_112518, GL50803_112553, GL50803_113030, GL50803_113094, GL50803_114120, GL50803_114192, GL50803_114535, GL50803_137676, GL50803_137696, GL50803_137742, GL50803_137743, GL50803_16988, GL50803_17188, GL50803_21505, GL50803_21924, GL50803_30354, GL50803_32778, GL50803_3677, GL50803_41687, GL50803_42657, GL50803_5142, GL50803_5144, GL50803_60026, GL50803_60027, GL50803_60083, GL50803_60196, GL50803_61439, GL50803_61490, GL50803_61578, GL50803_93221, GL50803_9327, GL50803_9870, GL50803_d103944		
OG0000011			SS50377_21561, SS50377_21562, SS50377_21583, SS50377_21613, SS50377_21666, SS50377_21685, SS50377_21686, SS50377_21695, SS50377_21734, SS50377_21744, SS50377_22640, SS50377_24215, SS50377_24970, SS50377_25146, SS50377_25150, SS50377_25162, SS50377_25770, SS50377_27033, SS50377_27082, SS50377_27091, SS50377_27131, SS50377_27149, SS50377_27168, SS50377_27171, SS50377_27883, SS50377_28017, SS50377_28374, SS50377_28376, SS50377_28476, SS50377_28500, SS50377_28519
OG0000012	GL50803_101074, GL50803_101765, GL50803_111933, GL50803_111936, GL50803_112801, GL50803_113439, GL50803_113450, GL50803_113797, GL50803_115797, GL50803_119706, GL50803_119707, GL50803_13390, GL50803_137606, GL50803_137612, GL50803_137617, GL50803_137618, GL50803_137722, GL50803_137723, GL50803_14586, GL50803_32933, GL50803_39904, GL50803_50229, GL50803_50317, GL50803_50379, GL50803_5812, GL50803_d101765, GL50803_d112801, GL50803_d115797, GL50803_d14586, GL50803_d50229		
OG0000013			SS50377_21450, SS50377_21451, SS50377_21507, SS50377_21627, SS50377_24635, SS50377_25961, SS50377_25969, SS50377_25977, SS50377_25994, SS50377_26007, SS50377_26040, SS50377_26041, SS50377_26042, SS50377_26047, SS50377_26056, SS50377_26060, SS50377_26061, SS50377_26063, SS50377_26064, SS50377_26068, SS50377_26076, SS50377_26078, SS50377_26080, SS50377_26081, SS50377_26083, SS50377_26085, SS50377_26086, SS50377_26087
OG0000014	GL50803_101805, GL50803_101832, GL50803_103454, GL50803_112305, GL50803_112584, GL50803_112828, GL50803_113242, GL50803_113297, GL50803_113801, GL50803_114042, GL50803_114089, GL50803_114617, GL50803_114852, GL50803_114930, GL50803_115202, GL50803_137672, GL50803_14324, GL50803_15008, GL50803_17380, GL50803_50041, GL50803_50057, GL50803_50124, GL50803_50221, GL50803_50233, GL50803_7715, GL50803_91707, GL50803_d50221		
OG0000015			SS50377_21365, SS50377_28443, SS50377_28444, SS50377_28445, SS50377_28446, SS50377_28447, SS50377_28448, SS50377_28449, SS50377_28450, SS50377_28451, SS50377_28455, SS50377_28456, SS50377_28457, SS50377_28458, SS50377_28459, SS50377_28460, SS50377_28461, SS50377_28462, SS50377_28463, SS50377_28464, SS50377_28465, SS50377_28466, SS50377_28467, SS50377_28468, SS50377_28469, SS50377_28470, SS50377_28471
OG0000016		GMRT_10286, GMRT_10843, GMRT_20186, GMRT_20297, GMRT_20407, GMRT_20899, GMRT_21477, GMRT_21620, GMRT_21876, GMRT_21895, GMRT_21922, GMRT_22142, GMRT_22754, GMRT_22765, GMRT_22860, GMRT_22941, GMRT_23247, GMRT_23426, GMRT_24022, GMRT_24754, GMRT_24789, GMRT_25009, GMRT_25010, GMRT_25162, GMRT_25175, GMRT_25322	
OG0000017			SS50377_21881, SS50377_22783, SS50377_23838, SS50377_23840, SS50377_23853, SS50377_23857, SS50377_23860, SS50377_23895, SS50377_24147, SS50377_24161, SS50377_24165, SS50377_24173, SS50377_24197, SS50377_25830, SS50377_25834, SS50377_26190, SS50377_26193, SS50377_26196, SS50377_26199, SS50377_27948, SS50377_28094, SS50377_28572
OG0000018	GL50803_10330, GL50803_113038, GL50803_114815, GL50803_14573, GL50803_16322, GL50803_16477, GL50803_37421, GL50803_6372, GL50803_8687, GL50803_92495, GL50803_95162	GMRT_11244, GMRT_12473, GMRT_13098, GMRT_13126, GMRT_20505	SS50377_22645, SS50377_22734, SS50377_22737, SS50377_27644, SS50377_27854
OG0000019		GMRT_10001, GMRT_10808, GMRT_10928, GMRT_11064, GMRT_11623, GMRT_12176, GMRT_12209, GMRT_12509, GMRT_12960, GMRT_13607, GMRT_14443, GMRT_15578, GMRT_15754, GMRT_16012, GMRT_16075, GMRT_16401, GMRT_16405, GMRT_16412, GMRT_20412, GMRT_24041, GMRT_24042	
OG0000020			SS50377_21285, SS50377_21310, SS50377_21311, SS50377_21313, SS50377_21514, SS50377_21738, SS50377_21765, SS50377_22214, SS50377_24561, SS50377_26018, SS50377_26023, SS50377_26142, SS50377_26150, SS50377_27116, SS50377_27729, SS50377_28366, SS50377_28830, SS50377_28831, SS50377_28861, SS50377_28862
OG0000021	GL50803_10241, GL50803_103981, GL50803_11149, GL50803_112150, GL50803_113864, GL50803_114778, GL50803_116967, GL50803_116968, GL50803_117191, GL50803_117192, GL50803_137682, GL50803_14552, GL50803_38275, GL50803_4188, GL50803_60974, GL50803_61066, GL50803_d113864, GL50803_d60974		SS50377_22962
OG0000022			SS50377_23781, SS50377_23800, SS50377_23836, SS50377_23856, SS50377_24132, SS50377_24141, SS50377_24152, SS50377_24155, SS50377_24810, SS50377_24878, SS50377_26226, SS50377_26250, SS50377_26266, SS50377_26270, SS50377_27028, SS50377_27053, SS50377_27933, SS50377_27955, SS50377_27963
OG0000023	GL50803_102444, GL50803_103094, GL50803_10410, GL50803_10686, GL50803_111987, GL50803_112008, GL50803_112937, GL50803_114440, GL50803_114797, GL50803_135725, GL50803_14926, GL50803_1713, GL50803_17604, GL50803_27813, GL50803_60621, GL50803_61420, GL50803_95847, GL50803_d103094		
OG0000024			SS50377_20140, SS50377_20602, SS50377_21119, SS50377_21422, SS50377_21526, SS50377_21533, SS50377_21546, SS50377_21573, SS50377_21706, SS50377_21720, SS50377_22732, SS50377_22739, SS50377_27217, SS50377_27229, SS50377_27233, SS50377_28415, SS50377_28425
OG0000025			SS50377_20663, SS50377_20678, SS50377_20679, SS50377_20691, SS50377_20692, SS50377_21111, SS50377_21535, SS50377_21538, SS50377_24926, SS50377_26403, SS50377_26456, SS50377_26786, SS50377_27340, SS50377_27349, SS50377_27667, SS50377_27932, SS50377_27954
OG0000026			SS50377_21522, SS50377_24992, SS50377_24993, SS50377_24994, SS50377_24995, SS50377_24996, SS50377_24997, SS50377_24998, SS50377_24999, SS50377_25000, SS50377_25001, SS50377_25002, SS50377_25003, SS50377_25004, SS50377_25005, SS50377_25006, SS50377_25007
OG0000027	GL50803_102178, GL50803_113357, GL50803_117204, GL50803_117472, GL50803_117473, GL50803_137744, GL50803_14043, GL50803_14831, GL50803_15400, GL50803_28626, GL50803_4313, GL50803_50064, GL50803_50116, GL50803_50391, GL50803_8595, GL50803_d117204		
OG0000028	GL50803_14791, GL50803_22547		SS50377_21399, SS50377_21400, SS50377_21401, SS50377_21467, SS50377_21512, SS50377_24082, SS50377_24110, SS50377_24114, SS50377_24115, SS50377_24211, SS50377_24212, SS50377_24214, SS50377_27076, SS50377_27077
OG0000029			SS50377_21508, SS50377_21519, SS50377_21547, SS50377_21572, SS50377_21661, SS50377_21705, SS50377_21719, SS50377_22829, SS50377_25217, SS50377_25268, SS50377_26601, SS50377_28414, SS50377_28418, SS50377_28426, SS50377_28432, SS50377_28801
OG0000030	GL50803_137673, GL50803_60001, GL50803_60004, GL50803_60547, GL50803_60942, GL50803_60949, GL50803_61443, GL50803_61815, GL50803_61818		SS50377_23216, SS50377_23221, SS50377_23224, SS50377_23226, SS50377_28833, SS50377_28834
OG0000031		GMRT_16176, GMRT_16177, GMRT_24413, GMRT_25025, GMRT_25026, GMRT_25049, GMRT_25050, GMRT_25141, GMRT_25142, GMRT_25205, GMRT_25206, GMRT_25210, GMRT_25211, GMRT_25260, GMRT_25261	
OG0000032			SS50377_20369, SS50377_20406, SS50377_21396, SS50377_21403, SS50377_25871, SS50377_26035, SS50377_26092, SS50377_26538, SS50377_27167, SS50377_27172, SS50377_27211, SS50377_27589, SS50377_28372, SS50377_28377, SS50377_28386
OG0000033			SS50377_20414, SS50377_20423, SS50377_20763, SS50377_21342, SS50377_21349, SS50377_21357, SS50377_21360, SS50377_21454, SS50377_25362, SS50377_25956, SS50377_26542, SS50377_26578, SS50377_27339, SS50377_27347, SS50377_27348
OG0000034			SS50377_21295, SS50377_21296, SS50377_22213, SS50377_23416, SS50377_24560, SS50377_27268, SS50377_27717, SS50377_28367, SS50377_28710, SS50377_28756, SS50377_28851, SS50377_28855, SS50377_28856, SS50377_28858, SS50377_28860
OG0000035	GL50803_10659, GL50803_111732, GL50803_112113, GL50803_114674, GL50803_116477, GL50803_117440, GL50803_13728, GL50803_137614, GL50803_137620, GL50803_41401, GL50803_50028, GL50803_50259, GL50803_50375, GL50803_d117440		
OG0000036	GL50803_135002, GL50803_135003	GMRT_11432, GMRT_20537	SS50377_23218, SS50377_23219, SS50377_23220, SS50377_23223, SS50377_23228, SS50377_23229, SS50377_23230, SS50377_23231, SS50377_23232, SS50377_28832
OG0000037			SS50377_20682, SS50377_21316, SS50377_21325, SS50377_21367, SS50377_21368, SS50377_22643, SS50377_22644, SS50377_22663, SS50377_24779, SS50377_26381, SS50377_28379, SS50377_28436, SS50377_28485, SS50377_28799
OG0000038			SS50377_21598, SS50377_21640, SS50377_21641, SS50377_21642, SS50377_21643, SS50377_21745, SS50377_21746, SS50377_21747, SS50377_21748, SS50377_21749, SS50377_21750, SS50377_21751, SS50377_21773, SS50377_21793
OG0000039	GL50803_15004, GL50803_17150, GL50803_17151	GMRT_10248, GMRT_10630, GMRT_20200, GMRT_20301, GMRT_20509, GMRT_20519, GMRT_23983, GMRT_24456	SS50377_26628, SS50377_26649
OG0000040	GL50803_14521, GL50803_16076	GMRT_13125, GMRT_20506, GMRT_20708, GMRT_20713, GMRT_23775, GMRT_23781, GMRT_23890	SS50377_25900, SS50377_25979, SS50377_26011, SS50377_27591
OG0000041	GL50803_101307, GL50803_11040, GL50803_12240, GL50803_16167, GL50803_16889, GL50803_17510, GL50803_3546, GL50803_6140, GL50803_7356, GL50803_86934, GL50803_8860, GL50803_97130, GL50803_d101307		
OG0000042	GL50803_33232, GL50803_7272, GL50803_9154	GMRT_12180	SS50377_20555, SS50377_22533, SS50377_23493, SS50377_24927, SS50377_25459, SS50377_25555, SS50377_25556, SS50377_25564, SS50377_27659
OG0000043		GMRT_10261, GMRT_12602, GMRT_12749, GMRT_13528, GMRT_15081, GMRT_15774, GMRT_16036, GMRT_16182, GMRT_21812, GMRT_23157, GMRT_23736, GMRT_24074, GMRT_24727	
OG0000044			SS50377_21314, SS50377_21327, SS50377_21345, SS50377_24831, SS50377_24844, SS50377_24865, SS50377_25018, SS50377_25095, SS50377_25106, SS50377_25145, SS50377_25158, SS50377_27746, SS50377_27777
OG0000045			SS50377_23984, SS50377_23991, SS50377_23996, SS50377_24198, SS50377_24199, SS50377_24200, SS50377_24201, SS50377_24202, SS50377_24203, SS50377_24262, SS50377_26896, SS50377_26918, SS50377_26930
OG0000046	GL50803_9803	GMRT_12967	SS50377_24714, SS50377_24820, SS50377_24823, SS50377_26278, SS50377_26283, SS50377_26287, SS50377_26292, SS50377_26296, SS50377_26475, SS50377_27224
OG0000047	GL50803_135231, GL50803_14212, GL50803_20037	GMRT_14272, GMRT_15577	SS50377_20335, SS50377_20349, SS50377_20357, SS50377_20362, SS50377_23135, SS50377_26550, SS50377_26851
OG0000048	GL50803_14019, GL50803_16160, GL50803_16468, GL50803_16779	GMRT_14369, GMRT_16333	SS50377_22443, SS50377_22449, SS50377_25133, SS50377_25134, SS50377_25197, SS50377_26766
OG0000049	GL50803_121045, GL50803_121046	GMRT_13289, GMRT_14840	SS50377_27540, SS50377_27542, SS50377_27544, SS50377_27546, SS50377_27548, SS50377_27550, SS50377_27552, SS50377_27554
OG0000050	GL50803_11311, GL50803_13921, GL50803_16251, GL50803_5346, GL50803_5375	GMRT_10747, GMRT_10844, GMRT_11374, GMRT_13848, GMRT_14286	SS50377_23714, SS50377_26909
OG0000051	GL50803_5248, GL50803_88059	GMRT_12299	SS50377_20657, SS50377_20658, SS50377_20789, SS50377_20804, SS50377_20805, SS50377_20816, SS50377_20817, SS50377_24419, SS50377_25442
OG0000052	GL50803_103437, GL50803_1076, GL50803_11649, GL50803_11654, GL50803_14551, GL50803_7796, GL50803_7797, GL50803_7799	GMRT_10919, GMRT_11761, GMRT_11764, GMRT_11779	
OG0000053			SS50377_20239, SS50377_22929, SS50377_23099, SS50377_23561, SS50377_23690, SS50377_23697, SS50377_23698, SS50377_24326, SS50377_26490, SS50377_27810, SS50377_27904, SS50377_28617
OG0000054			SS50377_20367, SS50377_21878, SS50377_22501, SS50377_22503, SS50377_24217, SS50377_24251, SS50377_24373, SS50377_24383, SS50377_26376, SS50377_26393, SS50377_26787, SS50377_28357
OG0000055			SS50377_21434, SS50377_21550, SS50377_21621, SS50377_21645, SS50377_21668, SS50377_21694, SS50377_21699, SS50377_21742, SS50377_24778, SS50377_24808, SS50377_24811, SS50377_27095
OG0000056			SS50377_21560, SS50377_21581, SS50377_21582, SS50377_21614, SS50377_21615, SS50377_21683, SS50377_21684, SS50377_25152, SS50377_25153, SS50377_25154, SS50377_26222, SS50377_26231
OG0000057	GL50803_112633, GL50803_113213, GL50803_113268, GL50803_113531, GL50803_113836, GL50803_114626, GL50803_137727, GL50803_16936, GL50803_50127, GL50803_60030	GMRT_10755	
OG0000058	GL50803_101291, GL50803_136020, GL50803_136021	GMRT_10403, GMRT_14917, GMRT_23357	SS50377_28424, SS50377_28696, SS50377_28699, SS50377_28702, SS50377_28705
OG0000059	GL50803_5435, GL50803_5638	GMRT_10774, GMRT_13204	SS50377_24952, SS50377_24960, SS50377_24979, SS50377_25009, SS50377_25015, SS50377_25094, SS50377_25096
OG0000060			SS50377_20810, SS50377_21838, SS50377_22613, SS50377_22716, SS50377_26575, SS50377_26584, SS50377_26620, SS50377_27148, SS50377_27154, SS50377_27346, SS50377_28570
OG0000061			SS50377_21319, SS50377_21337, SS50377_21347, SS50377_21348, SS50377_21361, SS50377_21374, SS50377_27711, SS50377_27732, SS50377_27733, SS50377_27739, SS50377_27740
OG0000062			SS50377_21323, SS50377_22622, SS50377_22631, SS50377_22650, SS50377_22658, SS50377_22712, SS50377_23596, SS50377_24692, SS50377_25916, SS50377_25930, SS50377_28221
OG0000063			SS50377_22799, SS50377_22915, SS50377_26245, SS50377_26246, SS50377_26251, SS50377_26256, SS50377_26257, SS50377_26269, SS50377_27145, SS50377_27157, SS50377_28792
OG0000064			SS50377_24633, SS50377_24650, SS50377_24667, SS50377_25917, SS50377_25922, SS50377_25924, SS50377_25929, SS50377_25933, SS50377_25945, SS50377_26373, SS50377_28001
OG0000065	GL50803_103676, GL50803_112079	GMRT_20068, GMRT_20404, GMRT_20413	SS50377_20088, SS50377_20090, SS50377_20092, SS50377_26825, SS50377_28713
OG0000066			SS50377_21289, SS50377_22218, SS50377_22758, SS50377_24679, SS50377_25508, SS50377_26205, SS50377_27724, SS50377_28725, SS50377_28763, SS50377_28797
OG0000067			SS50377_21384, SS50377_21735, SS50377_24089, SS50377_25157, SS50377_25599, SS50377_26227, SS50377_27797, SS50377_28475, SS50377_28499, SS50377_28518
OG0000068			SS50377_22605, SS50377_22657, SS50377_22677, SS50377_22707, SS50377_22713, SS50377_23962, SS50377_24290, SS50377_24297, SS50377_24325, SS50377_25367
OG0000069	GL50803_23808, GL50803_33787	GMRT_15505	SS50377_22554, SS50377_22593, SS50377_22641, SS50377_22664, SS50377_22665, SS50377_23907
OG0000070	GL50803_17198, GL50803_2421, GL50803_4039, GL50803_5795	GMRT_13300, GMRT_14190, GMRT_15177	SS50377_25335, SS50377_26401
OG0000071	GL50803_15317, GL50803_16318	GMRT_12510, GMRT_13380, GMRT_14255, GMRT_15069, GMRT_15917, GMRT_16251, GMRT_23154	
OG0000072	GL50803_11299	GMRT_10186, GMRT_14209	SS50377_28251, SS50377_28265, SS50377_28266, SS50377_28272, SS50377_28303, SS50377_28327
OG0000073	GL50803_14064, GL50803_17626, GL50803_3349	GMRT_10565, GMRT_12687, GMRT_14919	SS50377_20888, SS50377_22941, SS50377_25320
OG0000074	GL50803_14256, GL50803_27521	GMRT_14105	SS50377_21318, SS50377_21339, SS50377_21353, SS50377_21363, SS50377_21371, SS50377_21597
OG0000075	GL50803_17607, GL50803_3099	GMRT_12624, GMRT_13010	SS50377_24705, SS50377_26948, SS50377_27860, SS50377_27871, SS50377_28422
OG0000076	GL50803_7710	GMRT_10319, GMRT_10487, GMRT_13857, GMRT_14157, GMRT_14497, GMRT_15071, GMRT_15104	SS50377_27300
OG0000077	GL50803_96818	GMRT_13494, GMRT_13497	SS50377_21460, SS50377_21493, SS50377_21509, SS50377_21516, SS50377_21541, SS50377_28838
OG0000078	GL50803_8245	GMRT_10591	SS50377_20623, SS50377_20626, SS50377_27758, SS50377_27764, SS50377_27766, SS50377_27778, SS50377_27804
OG0000079		GMRT_10015, GMRT_10954, GMRT_13015, GMRT_15847, GMRT_21810, GMRT_23679, GMRT_23778, GMRT_24154, GMRT_24338	
OG0000080			SS50377_20089, SS50377_20091, SS50377_24044, SS50377_24061, SS50377_24097, SS50377_24103, SS50377_28712, SS50377_28714, SS50377_28715
